N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,choice
13,35,22,17,44,27,34,27,10,12,15,116,9,55,4,15,127,34,14,12,6,51,8,60,38,7,17,1
11,31,23,16,45,22,37,14,14,11,23,101,5,48,7,17,118,31,37,12,7,58,12,49,40,4,26,1
9,31,15,16,44,23,39,13,7,2,33,105,5,44,7,14,103,30,26,15,5,56,12,35,26,2,17,1
11,28,25,23,50,27,51,19,7,10,24,102,9,62,4,17,113,29,33,9,5,55,7,44,25,6,16,1
17,36,23,18,48,23,46,12,10,12,17,108,3,51,10,18,140,23,25,17,3,57,10,51,24,2,23,1
16,36,16,14,50,25,36,20,16,11,16,108,9,56,20,15,124,45,25,19,10,57,15,46,46,4,23,1
13,37,20,15,41,27,44,16,8,5,11,110,3,46,10,30,107,28,23,19,9,59,13,41,42,4,16,1
15,31,17,17,46,21,33,18,11,9,16,116,6,44,14,15,138,35,33,24,9,71,14,53,45,3,24,1
13,34,35,20,43,20,40,13,11,8,26,132,1,52,11,19,112,22,24,13,8,45,8,46,42,7,12,2
17,28,32,15,54,25,47,15,8,10,22,103,9,44,10,23,137,33,29,24,8,50,9,34,36,2,16,1
16,32,24,20,54,30,23,16,12,9,29,124,8,53,13,16,124,29,29,23,2,59,11,48,38,7,21,2
17,32,21,21,56,33,27,26,14,15,28,116,7,57,11,19,136,40,24,34,1,56,7,38,55,5,26,1
10,22,18,24,44,27,35,21,8,11,24,114,10,61,6,11,104,32,21,21,10,65,8,47,36,6,20,1
20,35,16,20,47,30,33,18,17,14,25,114,4,48,9,13,130,37,25,28,5,81,14,34,53,6,16,1
16,44,28,21,45,27,46,19,12,18,26,115,8,56,15,19,99,43,36,31,8,54,12,45,42,7,22,2
17,39,22,18,27,25,34,21,5,9,18,103,4,48,25,16,124,31,43,31,2,60,8,51,60,5,16,2
9,30,16,12,41,26,34,17,15,15,16,105,5,50,13,12,93,31,32,29,5,61,13,40,33,2,20,2
19,31,32,14,45,24,39,26,17,12,26,106,3,49,23,18,147,29,30,22,8,61,14,44,58,8,13,2
19,23,18,23,35,29,31,12,5,9,35,92,2,49,31,26,148,27,27,23,9,55,13,37,49,7,26,1
20,27,21,18,37,21,52,19,12,12,27,90,10,61,31,22,149,29,25,35,6,73,13,47,44,8,15,1
18,35,30,20,52,22,41,16,13,13,28,103,12,53,33,17,115,36,26,43,13,54,12,42,33,10,26,1
13,38,32,26,49,31,40,17,14,10,21,108,17,59,27,15,130,39,50,41,1,56,20,53,74,4,25,2
16,32,25,16,42,16,55,19,13,13,36,107,10,40,63,26,113,30,22,37,11,83,9,41,55,7,18,1
25,33,17,18,50,20,53,18,8,17,18,124,10,58,56,21,141,33,26,47,8,63,19,35,56,9,24,1
19,34,24,19,55,22,42,25,20,14,27,108,9,56,80,26,169,32,25,49,15,50,9,43,56,8,22,1
15,28,24,20,44,22,51,18,11,10,21,135,8,54,78,20,135,27,19,46,21,58,16,40,50,7,21,1
13,36,22,21,48,28,38,23,10,17,21,110,10,69,64,21,128,35,26,52,17,56,19,37,43,4,18,2
11,33,26,17,45,29,36,17,6,10,24,91,7,66,70,18,109,27,26,40,11,65,15,29,55,4,13,1
12,38,29,18,41,34,41,11,24,14,35,124,5,62,61,17,123,23,23,26,8,63,9,49,57,11,18,1
12,34,27,17,49,19,32,26,11,14,29,113,13,57,67,26,174,31,32,41,10,34,8,39,82,4,11,1
10,33,22,24,43,37,59,19,20,22,25,111,14,57,58,27,143,31,29,49,8,72,22,42,91,7,22,1
12,35,24,18,42,20,40,10,6,16,27,123,11,69,74,17,134,41,22,26,3,52,18,39,57,1,23,1
10,34,24,14,36,27,46,15,9,12,25,133,16,64,76,11,118,36,34,29,7,48,14,31,72,3,21,1
12,34,24,19,45,38,38,14,12,15,27,135,14,86,93,20,136,28,33,28,10,52,17,48,78,7,23,2
10,36,21,13,35,30,31,21,12,17,29,91,7,48,71,14,104,19,31,15,5,38,10,32,50,3,15,1
9,35,17,7,55,30,41,12,12,14,19,124,6,61,77,24,109,37,34,23,10,45,15,24,79,5,31,1
9,38,19,12,37,30,34,13,8,11,32,125,12,47,78,31,125,32,26,21,8,48,15,30,48,3,15,1
13,35,26,14,40,22,41,8,11,16,23,124,9,53,97,13,125,31,34,43,8,54,6,26,59,8,29,1
7,35,17,13,47,27,41,8,7,11,25,111,12,32,94,17,112,21,23,33,11,48,9,29,47,4,10,1
10,30,21,17,39,32,43,20,12,14,27,114,11,54,87,17,130,27,29,16,13,47,21,35,60,4,25,2
9,32,31,16,43,29,28,16,9,14,25,115,5,50,86,21,102,26,31,32,11,53,30,31,66,5,17,1
9,32,27,25,31,23,42,9,17,14,25,109,9,58,100,11,123,25,25,27,7,47,17,34,65,6,18,1
8,33,27,16,36,17,39,11,15,13,22,123,10,52,90,13,136,38,29,24,5,56,18,34,57,6,17,2
8,25,18,12,41,18,44,21,15,17,24,118,7,44,82,20,120,30,29,24,2,45,14,33,39,3,30,1
14,37,26,18,33,12,57,21,10,15,29,107,12,56,80,12,98,24,23,33,6,53,8,36,71,10,14,1
7,28,26,22,44,31,49,12,7,13,18,126,9,43,75,14,101,29,24,25,13,34,15,41,45,1,9,1
19,27,19,18,40,23,48,21,12,14,24,108,11,68,93,16,124,23,34,27,11,45,13,32,65,0,18,1
10,32,24,18,48,32,45,10,13,16,28,118,12,70,107,19,132,23,27,29,10,39,19,17,73,4,15,1
9,31,21,14,33,26,45,14,17,8,27,108,22,55,81,15,124,30,30,20,5,52,13,26,73,11,18,1
7,24,18,12,39,17,44,16,17,5,30,122,9,49,89,16,114,31,24,28,7,42,18,25,64,5,16,1
9,30,24,18,41,36,41,5,11,6,25,129,8,59,92,12,123,30,32,39,9,53,16,24,50,7,14,2
5,27,18,16,43,32,52,21,13,6,35,115,11,67,86,14,123,26,34,21,15,53,20,39,63,8,20,1
9,27,30,14,41,27,53,12,12,2,25,116,7,45,74,16,108,32,32,24,9,42,29,36,58,7,20,2
7,29,23,13,38,19,37,9,14,9,22,93,15,51,89,13,105,28,29,18,13,52,15,29,72,7,29,1
13,24,18,9,50,30,39,16,13,6,27,121,18,74,89,13,96,23,27,20,6,54,17,25,47,7,30,1
3,44,25,8,51,16,35,13,10,8,28,84,10,74,77,12,113,41,27,25,17,44,20,32,50,6,21,2
8,37,21,13,32,32,45,21,19,12,30,108,17,71,81,11,99,40,31,24,13,52,22,32,89,5,23,1
11,32,22,16,45,20,51,16,9,15,18,106,25,61,78,17,98,35,37,41,15,63,19,36,72,3,24,1
7,32,15,14,19,17,40,20,16,11,24,103,20,61,90,20,122,25,30,39,9,42,16,43,57,6,22,1
4,30,24,16,29,24,41,19,10,6,26,107,26,71,79,16,115,23,19,23,8,56,18,37,56,9,18,2
4,30,19,14,32,28,58,13,12,10,20,88,15,61,97,13,108,35,20,9,21,59,17,36,56,8,18,2
5,22,18,13,29,17,40,7,11,10,23,111,9,66,67,9,100,34,34,18,11,45,17,27,33,6,11,1
5,32,21,18,40,24,38,16,13,9,21,110,18,56,93,8,125,32,33,16,12,47,24,22,62,8,36,2
6,21,20,11,24,27,52,17,17,13,19,96,14,72,110,8,105,43,30,11,6,52,19,41,55,8,27,1
5,25,27,15,35,23,54,22,21,6,20,89,8,51,101,14,80,27,31,18,12,48,20,28,57,6,25,1
6,32,21,9,29,25,53,16,15,11,23,95,27,73,155,26,99,31,35,31,14,43,24,40,67,4,25,2
7,21,20,15,28,29,50,30,19,9,23,119,9,54,129,15,114,38,44,26,9,34,23,27,64,8,30,1
7,27,17,12,36,24,41,16,12,11,24,127,33,77,78,24,114,24,28,32,20,38,22,42,54,7,28,1
4,31,20,3,32,23,56,11,15,11,15,107,24,63,80,18,120,27,35,48,12,50,16,58,56,10,20,2
6,25,19,10,35,19,56,19,15,18,19,107,15,71,81,20,113,39,32,46,16,62,31,27,58,1,22,2
7,25,17,12,28,26,40,14,20,19,31,99,19,65,78,24,116,24,34,48,23,58,29,34,65,7,23,1
4,29,17,12,35,29,41,11,19,16,19,102,5,53,44,18,98,25,23,50,5,43,15,31,51,4,37,2
6,23,26,17,18,18,62,22,17,7,28,98,15,56,40,31,81,27,31,58,6,45,20,42,55,2,31,1
8,27,11,14,30,19,47,12,17,17,37,94,11,47,56,26,89,21,31,53,9,48,19,37,71,4,18,1
4,27,21,10,26,33,45,19,17,18,20,104,15,51,74,21,90,33,43,65,8,54,25,35,56,6,28,1
6,20,15,13,31,18,41,12,15,16,20,111,16,48,55,25,61,22,31,60,12,42,21,36,50,7,24,1
6,26,19,11,35,28,66,17,13,12,25,106,6,66,41,35,98,36,34,65,10,43,30,40,63,5,19,1
8,28,12,10,35,26,44,19,19,15,21,92,9,49,77,25,141,27,23,57,15,53,30,48,56,5,24,1
3,20,13,11,16,19,60,10,13,12,22,95,4,60,42,33,104,18,33,61,11,48,20,34,38,2,26,1
6,22,11,13,14,17,47,6,15,13,17,103,19,45,55,24,83,24,38,64,10,55,19,34,62,7,19,1
6,32,16,10,25,29,47,13,17,13,18,83,6,63,55,23,88,28,27,78,7,56,32,26,76,3,21,1
8,20,11,10,35,26,40,18,4,9,19,89,15,53,42,29,85,23,31,74,14,40,19,28,63,10,27,2
14,29,18,6,23,12,56,19,12,12,18,100,20,74,30,34,94,31,35,87,12,58,25,42,67,9,30,1
3,20,19,11,30,27,43,7,9,10,19,95,23,50,25,16,97,25,25,53,17,27,24,39,57,7,16,1
3,25,13,9,45,23,45,13,22,12,24,109,25,55,37,25,115,19,21,59,18,50,19,29,59,8,25,1
3,21,12,12,37,36,46,6,16,9,22,109,25,54,26,24,112,32,39,63,22,45,37,46,62,5,17,2
5,23,16,7,27,23,47,19,21,8,26,97,21,53,17,37,69,35,24,72,17,56,23,34,49,4,22,2
3,24,11,9,32,24,52,15,14,4,19,88,23,57,19,29,94,24,31,50,26,52,25,36,48,5,13,2
5,27,17,9,22,26,58,11,14,7,27,89,24,54,22,25,118,25,37,72,18,48,29,35,52,5,24,1
3,18,18,12,30,25,62,15,16,10,34,89,25,61,18,26,84,21,34,70,21,48,33,26,45,4,14,1
